OBJECTID,Neighborhood,Address,INVENTORY_DATE,SPECIES,MATURE_SIZE,FUNCTIONAL_TYPE,Condition,LATITUDE,LONGITUDE
3,HAZELWOOD,"11315 NE EVERETT ST, PORTLAND, OR, 97220",2022/09/07 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52487028,-122.5466453
7,HAZELWOOD,"435 NE 114TH AVE, PORTLAND, OR, 97220",2022/09/07 00:00:00+00,Tilia spp. - linden or basswood,Large,Broadleaf deciduous,Good,45.52592909,-122.5450352
11,HAZELWOOD,"11329 NE FLANDERS ST, PORTLAND, OR, 97220",2022/09/07 00:00:00+00,Acer pseudoplatanus - sycamore maple,Large,Broadleaf deciduous,Good,45.5253768,-122.5460759
13,HAZELWOOD,"11372 NE DAVIS ST, PORTLAND, OR, 97220",2022/09/07 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52365992,-122.5455913
19,HAZELWOOD,"100 NE 120TH AVE, PORTLAND, OR, 97220",2022/09/07 00:00:00+00,Quercus palustris - pin oak,Large,Broadleaf deciduous,Good,45.52339348,-122.5391376
38,HAZELWOOD,"11366 NE FLANDERS ST, PORTLAND, OR, 97220",2022/09/07 00:00:00+00,Liquidambar styraciflua - sweetgum,Large,Broadleaf deciduous,Good,45.52513447,-122.5450505
42,HAZELWOOD,"11372 NE DAVIS ST, PORTLAND, OR, 97220",2022/09/07 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52366025,-122.5454864
47,HAZELWOOD,"100 NE 120TH AVE, PORTLAND, OR, 97220",2022/09/07 00:00:00+00,Quercus palustris - pin oak,Large,Broadleaf deciduous,Good,45.52330594,-122.539135
48,HAZELWOOD,"100 NE 120TH AVE, PORTLAND, OR, 97220",2022/09/07 00:00:00+00,Quercus palustris - pin oak,Large,Broadleaf deciduous,Good,45.52394395,-122.5391333
65,HAZELWOOD,"11751 E BURNSIDE ST, PORTLAND, OR, 97216",2022/09/07 00:00:00+00,Quercus robur - English oak,Large,Broadleaf deciduous,Good,45.5232336,-122.5412165
71,HAZELWOOD,"9 WI/ NE 120TH AVE, PORTLAND, OR, 97220",2022/09/07 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52337075,-122.539353
76,HAZELWOOD,"405 NE 105TH AVE, PORTLAND, OR, 97220",2022/09/07 00:00:00+00,Ulmus spp. - elm,Large,Broadleaf deciduous,Good,45.52550613,-122.5551331
93,HAZELWOOD,"11751 E BURNSIDE ST, PORTLAND, OR, 97216",2022/09/07 00:00:00+00,Quercus robur - English oak,Large,Broadleaf deciduous,Good,45.52317775,-122.5411807
94,HAZELWOOD,"11751 WI/ E BURNSIDE ST, PORTLAND, OR, 97216",2022/09/07 00:00:00+00,Quercus robur - English oak,Large,Broadleaf deciduous,Good,45.52350788,-122.5411849
98,HAZELWOOD,"9 WI/ NE 120TH AVE, PORTLAND, OR, 97220",2022/09/07 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52336957,-122.5395899
102,HAZELWOOD,"111 NE 116TH AVE, PORTLAND, OR, 97220",2022/09/07 00:00:00+00,Tilia spp. - linden or basswood,Large,Broadleaf deciduous,Good,45.52352142,-122.5440478
116,HAZELWOOD,"10404 NE DAVIS ST, PORTLAND, OR, 97220",2022/09/07 00:00:00+00,Fagus spp. - beech,Large,Broadleaf deciduous,Good,45.52381579,-122.5562356
118,HAZELWOOD,"10524 NE DAVIS ST, PORTLAND, OR, 97220",2022/09/07 00:00:00+00,Gleditsia spp. - honey locust,Large,Broadleaf deciduous,Good,45.5238111,-122.5546046
119,HAZELWOOD,"215 NE 106TH AVE, PORTLAND, OR, 97220",2022/09/07 00:00:00+00,Gleditsia spp. - honey locust,Large,Broadleaf deciduous,Good,45.52414103,-122.5540394
160,HAZELWOOD,"208 NE 104TH AVE, PORTLAND, OR, 97220",2022/09/08 00:00:00+00,Ulmus spp. - elm,Large,Broadleaf deciduous,Good,45.52390563,-122.5561076
161,HAZELWOOD,"208 NE 104TH AVE, PORTLAND, OR, 97220",2022/09/08 00:00:00+00,Ulmus spp. - elm,Large,Broadleaf deciduous,Good,45.52390378,-122.5561993
162,HAZELWOOD,"208 NE 104TH AVE, PORTLAND, OR, 97220",2022/09/08 00:00:00+00,"Quercus frainetto - Hungarian oak, Italian oak",Large,Broadleaf deciduous,Good,45.52395175,-122.5562903
189,HAZELWOOD,"207-215 NE 97TH AVE, PORTLAND, OR, 97220",2022/09/09 00:00:00+00,Fagus spp. - beech,Large,Broadleaf deciduous,Good,45.524303,-122.5636731
196,HAZELWOOD,"400 NE 97TH AVE, PORTLAND, OR, 97220",2022/09/09 00:00:00+00,Fagus spp. - beech,Large,Broadleaf deciduous,Good,45.52535205,-122.5636648
201,HAZELWOOD,"9750 NE GLISAN ST, PORTLAND, OR, 97220",2022/09/09 00:00:00+00,Fagus spp. - beech,Large,Broadleaf deciduous,Good,45.52562454,-122.5634964
202,HAZELWOOD,"400 NE 97TH AVE, PORTLAND, OR, 97220",2022/09/09 00:00:00+00,Fagus spp. - beech,Large,Broadleaf deciduous,Good,45.52538198,-122.5634968
212,HAZELWOOD,"9750 NE GLISAN ST, PORTLAND, OR, 97220",2022/09/09 00:00:00+00,Fagus spp. - beech,Large,Broadleaf deciduous,Good,45.52556627,-122.5634991
213,HAZELWOOD,"400 NE 97TH AVE, PORTLAND, OR, 97220",2022/09/09 00:00:00+00,Fagus spp. - beech,Large,Broadleaf deciduous,Good,45.52546625,-122.563497
219,HAZELWOOD,"10014 NE GLISAN ST, PORTLAND, OR, 97220",2022/09/12 00:00:00+00,Quercus palustris - pin oak,Large,Broadleaf deciduous,Good,45.52573803,-122.5607397
220,HAZELWOOD,"10014 NE GLISAN ST, PORTLAND, OR, 97220",2022/09/12 00:00:00+00,Quercus palustris - pin oak,Large,Broadleaf deciduous,Good,45.52580243,-122.5607417
221,HAZELWOOD,"10014 NE GLISAN ST, PORTLAND, OR, 97220",2022/09/12 00:00:00+00,Quercus palustris - pin oak,Large,Broadleaf deciduous,Good,45.52589091,-122.5607415
223,HAZELWOOD,"10014 NE GLISAN ST, PORTLAND, OR, 97220",2022/09/12 00:00:00+00,Quercus palustris - pin oak,Large,Broadleaf deciduous,Good,45.52604933,-122.5607347
240,HAZELWOOD,"9850 NE EVERETT CT, PORTLAND, OR, 97220",2022/09/12 00:00:00+00,Fagus spp. - beech,Large,Broadleaf deciduous,Excellent,45.52525648,-122.5625371
241,HAZELWOOD,"9850 NE EVERETT CT, PORTLAND, OR, 97220",2022/09/12 00:00:00+00,Fagus spp. - beech,Large,Broadleaf deciduous,Excellent,45.52526658,-122.5634074
265,HAZELWOOD,"9850 NE EVERETT CT, PORTLAND, OR, 97220",2022/09/12 00:00:00+00,Fagus spp. - beech,Large,Broadleaf deciduous,Excellent,45.52525746,-122.5624339
269,HAZELWOOD,"340 NE 108TH PL, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Quercus robur - English oak,Large,Broadleaf deciduous,Excellent,45.52513247,-122.5512926
302,HAZELWOOD,"171 NE 113TH AVE, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Ulmus spp. - elm,Large,Broadleaf deciduous,Good,45.52368505,-122.5471243
313,HAZELWOOD,"235 NE 111TH AVE, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Liquidambar styraciflua - sweetgum,Large,Broadleaf deciduous,Good,45.52424171,-122.5487296
314,HAZELWOOD,"235 NE 111TH AVE, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Liquidambar styraciflua - sweetgum,Large,Broadleaf deciduous,Good,45.52432954,-122.5487279
317,HAZELWOOD,"219 NE 110TH AVE, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Quercus robur - English oak,Large,Broadleaf deciduous,Good,45.5239205,-122.5496981
320,HAZELWOOD,"NE 109TH AVE, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Quercus bicolor - swamp white oak,Large,Broadleaf deciduous,Good,45.52312379,-122.5505464
333,HAZELWOOD,"341 NE 108TH PL, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Tilia cordata - littleleaf linden,Large,Broadleaf deciduous,Good,45.52505947,-122.5514284
358,HAZELWOOD,"11201 NE COUCH CT, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Juglans regia - English walnut,Large,Broadleaf deciduous,Good,45.52372069,-122.5484153
384,HAZELWOOD,"235 NE 111TH AVE, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Liquidambar styraciflua - sweetgum,Large,Broadleaf deciduous,Good,45.52438281,-122.5487277
385,HAZELWOOD,"235 NE 111TH AVE, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Liquidambar styraciflua - sweetgum,Large,Broadleaf deciduous,Good,45.52442304,-122.5487282
388,HAZELWOOD,"219 NE 110TH AVE, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Quercus robur - English oak,Large,Broadleaf deciduous,Good,45.52397752,-122.5496924
404,HAZELWOOD,"426 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.5260798,-122.5580365
405,HAZELWOOD,"426 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52592883,-122.5580426
406,HAZELWOOD,"336 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Quercus robur - English oak,Large,Broadleaf deciduous,Good,45.52558232,-122.558051
408,HAZELWOOD,"312 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Quercus robur - English oak,Large,Broadleaf deciduous,Good,45.52493409,-122.5580813
409,HAZELWOOD,"206 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Quercus robur - English oak,Large,Broadleaf deciduous,Good,45.52412219,-122.5581042
410,HAZELWOOD,"206 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Quercus robur - English oak,Large,Broadleaf deciduous,Good,45.52405511,-122.5581094
412,HAZELWOOD,"10225 N/ E BURNSIDE ST, PORTLAND, OR, 97216",2022/09/14 00:00:00+00,Tilia americana - American linden,Large,Broadleaf deciduous,Good,45.5230056,-122.5581489
414,HAZELWOOD,"426 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52600324,-122.5580376
415,HAZELWOOD,"330 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Quercus robur - English oak,Large,Broadleaf deciduous,Good,45.52541979,-122.5580588
418,HAZELWOOD,"324 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Quercus robur - English oak,Large,Broadleaf deciduous,Good,45.52515176,-122.5580688
419,HAZELWOOD,"324 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Quercus robur - English oak,Large,Broadleaf deciduous,Good,45.52501768,-122.5580842
420,HAZELWOOD,"252 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/14 00:00:00+00,Quercus robur - English oak,Large,Broadleaf deciduous,Good,45.52473449,-122.5580888
424,HAZELWOOD,"11005 NE GLISAN ST, PORTLAND, OR, 97220",2022/09/20 00:00:00+00,"Quercus frainetto - Hungarian oak, Italian oak",Large,Broadleaf deciduous,Good,45.52663017,-122.5493862
429,HAZELWOOD,"650 NE 110TH AVE, PORTLAND, OR, 97220",2022/09/20 00:00:00+00,Quercus spp. - oak,Large,Broadleaf deciduous,Good,45.52744049,-122.5493623
431,HAZELWOOD,"735 NE 111TH AVE, PORTLAND, OR, 97220",2022/09/20 00:00:00+00,Ulmus spp. - elm,Large,Broadleaf deciduous,Good,45.5280533,-122.548678
438,HAZELWOOD,"610 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/20 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52710558,-122.5580123
439,HAZELWOOD,"700 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/20 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52755335,-122.5580129
441,HAZELWOOD,"700 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/20 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52770015,-122.5580072
442,HAZELWOOD,"700 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/20 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52795995,-122.5580074
444,HAZELWOOD,"11005 NE GLISAN ST, PORTLAND, OR, 97220",2022/09/20 00:00:00+00,"Quercus frainetto - Hungarian oak, Italian oak",Large,Broadleaf deciduous,Good,45.52649964,-122.5493873
451,HAZELWOOD,"734 NE 110TH AVE, PORTLAND, OR, 97220",2022/09/20 00:00:00+00,Ulmus spp. - elm,Large,Broadleaf deciduous,Good,45.52796651,-122.5493482
460,HAZELWOOD,"504 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/20 00:00:00+00,Fagus spp. - beech,Large,Broadleaf deciduous,Good,45.52639707,-122.5579213
461,HAZELWOOD,"504 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/20 00:00:00+00,Fagus spp. - beech,Large,Broadleaf deciduous,Good,45.52642787,-122.5579553
462,HAZELWOOD,"610 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/20 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52746575,-122.5580099
470,HAZELWOOD,"703 NE 106TH PL, PORTLAND, OR, 97220",2022/09/22 00:00:00+00,Quercus robur - English oak,Large,Broadleaf deciduous,Good,45.52755727,-122.5535838
472,HAZELWOOD,"10541 NE HOYT ST, PORTLAND, OR, 97220",2022/09/22 00:00:00+00,Ulmus spp. - elm,Large,Broadleaf deciduous,Good,45.52697479,-122.5539101
505,HAZELWOOD,"632 NE 114TH AVE, PORTLAND, OR, 97220",2022/09/22 00:00:00+00,Acer saccharinum - silver maple,Large,Broadleaf deciduous,Good,45.52743138,-122.5445678
506,HAZELWOOD,"632 NE 114TH AVE, PORTLAND, OR, 97220",2022/09/22 00:00:00+00,Acer saccharinum - silver maple,Large,Broadleaf deciduous,Good,45.52733333,-122.5445721
511,HAZELWOOD,"628 NE 108TH AVE, PORTLAND, OR, 97220",2022/09/22 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52738005,-122.551416
537,HAZELWOOD,"10541 NE HOYT ST, PORTLAND, OR, 97220",2022/09/22 00:00:00+00,Ulmus spp. - elm,Large,Broadleaf deciduous,Good,45.52705627,-122.5537573
563,HAZELWOOD,"10520 NE HOYT ST, PORTLAND, OR, 97220",2022/09/22 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52713478,-122.5545854
564,HAZELWOOD,"10520 NE HOYT ST, PORTLAND, OR, 97220",2022/09/22 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52712792,-122.554477
565,HAZELWOOD,"10520 NE HOYT ST, PORTLAND, OR, 97220",2022/09/22 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52709962,-122.5543432
566,HAZELWOOD,"10520 NE HOYT ST, PORTLAND, OR, 97220",2022/09/22 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52706383,-122.554261
568,HAZELWOOD,"10520 NE HOYT ST, PORTLAND, OR, 97220",2022/09/22 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52702054,-122.5541958
570,HAZELWOOD,"532 NE 106TH PL, PORTLAND, OR, 97220",2022/09/22 00:00:00+00,Ulmus spp. - elm,Large,Broadleaf deciduous,Good,45.52691653,-122.55379
575,HAZELWOOD,"730 NE 106TH PL, PORTLAND, OR, 97220",2022/09/22 00:00:00+00,Ulmus spp. - elm,Large,Broadleaf deciduous,Good,45.52803992,-122.5532799
586,HAZELWOOD,"615 NE 107TH PL, PORTLAND, OR, 97220",2022/09/22 00:00:00+00,Quercus robur - English oak,Large,Broadleaf deciduous,Good,45.52717352,-122.5525907
587,HAZELWOOD,"10746 NE HOYT ST, PORTLAND, OR, 97220",2022/09/22 00:00:00+00,Ulmus spp. - elm,Large,Broadleaf deciduous,Good,45.52705697,-122.5521751
589,HAZELWOOD,"10746 NE HOYT ST, PORTLAND, OR, 97220",2022/09/22 00:00:00+00,Ulmus spp. - elm,Large,Broadleaf deciduous,Good,45.52705608,-122.5520704
596,HAZELWOOD,"628 NE 108TH AVE, PORTLAND, OR, 97220",2022/09/22 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52730839,-122.5514186
612,HAZELWOOD,"10706 NE OREGON ST, PORTLAND, OR, 97220",2022/09/23 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52893838,-122.55277
615,HAZELWOOD,"740 NE 107TH PL, PORTLAND, OR, 97220",2022/09/23 00:00:00+00,Ulmus spp. - elm,Large,Broadleaf deciduous,Good,45.52805034,-122.5525989
620,HAZELWOOD,"10826 NE OREGON ST, PORTLAND, OR, 97220",2022/09/23 00:00:00+00,Fagus spp. - beech,Large,Broadleaf deciduous,Good,45.52806881,-122.5515384
624,HAZELWOOD,"10428 NE PACIFIC ST, PORTLAND, OR, 97220",2022/09/23 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52895303,-122.5548958
627,HAZELWOOD,"1350 NE 117TH AVE, PORTLAND, OR, 97220",2022/09/23 00:00:00+00,Fagus spp. - beech,Large,Broadleaf deciduous,Good,45.53277377,-122.5426131
631,HAZELWOOD,"850 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/23 00:00:00+00,Quercus robur - English oak,Large,Broadleaf deciduous,Good,45.52895516,-122.5577845
637,HAZELWOOD,"840 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/23 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52868905,-122.5579923
639,HAZELWOOD,"824 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/23 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52839737,-122.5579961
641,HAZELWOOD,"808 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/23 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.52833397,-122.5579953
674,HAZELWOOD,"1307 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/23 00:00:00+00,Ginkgo biloba - ginkgo,Large,Broadleaf deciduous,Good,45.53289841,-122.5582133
678,HAZELWOOD,"LEVY CODE 712, PORTLAND, OR, 97220",2022/09/23 00:00:00+00,Quercus rubra - northern red oak,Large,Broadleaf deciduous,Good,45.53230309,-122.5580842
679,HAZELWOOD,"1330 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/23 00:00:00+00,Quercus rubra - northern red oak,Large,Broadleaf deciduous,Good,45.53257651,-122.5580807
680,HAZELWOOD,"1330 NE 102ND AVE, PORTLAND, OR, 97220",2022/09/23 00:00:00+00,Quercus rubra - northern red oak,Large,Broadleaf deciduous,Good,45.532645,-122.5580768
